Timestamp,Email or phone number (for the $50 Amazon gift card giveaway),What year are you?,What's your major, How do you usually study for exams? (Select all that apply),What tools do you currently use for studying? (Select all that apply),"If you use AI for studying, what do you use it for? (Select all that apply)", What's your biggest frustration when studying? (optional)," If an AI tutor could do ONE thing perfectly for you, what would it be? (optional)",Would you use an AI tutor connected to your actual course materials and grades?
2/27/2026 20:41:26,alq17x0a@cc.rehearsalk.com,Sophomore,Arts & Design,Tutoring (in-person or online),Notion,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 20:41:30,a9jdz4ze@cc.rehearsalk.com,Junior,"(CS, Engineering, Math, Science)",Study groups,"Notion, Chegg & Course Hero",Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 20:41:31,9653z9gi@zz.xintaitong.com,Sophomore,Business & Econ,"Flashcards (physical or digital), AI tools (ChatGPT, Claude, etc.)","Notion, Google Docs & Slides","Summarizing readings & notes, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 20:41:35,csjfp52j@cc.rehearsalk.com,Sophomore,"(CS, Engineering, Math, Science)",Flashcards (physical or digital),Notion,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 20:41:52,dp8hmjn7@qqq.youngestsd.com,Sophomore,Business & Econ,"Practice problems & past exams, Flashcards (physical or digital)","Quizlet, Anki","Summarizing readings & notes, Generating practice questions",,,Maybe — depends on how it works
2/27/2026 20:41:53,pqecf6hr@www.lingeringp.com,Sophomore,Business & Econ,"Practice problems & past exams, Flashcards (physical or digital)","Quizlet, Anki","Summarizing readings & notes, Generating practice questions",,,Maybe — depends on how it works
2/27/2026 20:41:54,grdv30hd@www.lingeringp.com,Junior,Humanities & Social Science,"Practice problems & past exams, Watch YouTube & video explanations","Quizlet, Notion","Summarizing readings & notes, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 20:41:54,w6rg8ua1@qqq.youngestsd.com,Sophomore,Business & Econ,"Practice problems & past exams, Flashcards (physical or digital)","Quizlet, Anki","Summarizing readings & notes, Generating practice questions",,,Maybe — depends on how it works
2/27/2026 20:41:54,mu3wrt7c@www.lingeringp.com,Junior,Business & Econ,"Practice problems & past exams, Flashcards (physical or digital)","Quizlet, Anki","Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:41:54,72uiw8b9@www.lingeringp.com,Sophomore,Business & Econ,"Practice problems & past exams, Flashcards (physical or digital)","Quizlet, Anki","Summarizing readings & notes, Generating practice questions",,,Maybe — depends on how it works
2/27/2026 20:41:54,pqecf6hr@www.lingeringp.com,Freshman,Humanities & Social Science,"Flashcards (physical or digital), Watch YouTube & video explanations","Quizlet, Anki","Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:41:54,kj2t9ws3@qqq.youngestsd.com,Sophomore,Business & Econ,"Practice problems & past exams, Flashcards (physical or digital)","Quizlet, Anki","Summarizing readings & notes, Generating practice questions",,,Maybe — depends on how it works
2/27/2026 20:41:56,izg9n5zt@qqq.youngestsd.com,Freshman,Arts & Design,"Re-read notes & textbook, Flashcards (physical or digital)","ChatGPT & Claude & AI chatbots, Anki","Explaining concepts I don't understand, Generating practice questions",,,
2/27/2026 20:42:18,76wd2tt2@www.lingeringp.com,Sophomore,Arts & Design,"Re-read notes & textbook, Practice problems & past exams, Study groups, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:42:18,qsftwgl8@www.lingeringp.com,Sophomore,Arts & Design,"Re-read notes & textbook, Practice problems & past exams, Study groups, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:42:18,fhp79ts5@qqq.youngestsd.com,Sophomore,Arts & Design,"Re-read notes & textbook, Practice problems & past exams, Study groups, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:42:18,sulo99vw@qqq.youngestsd.com,Sophomore,Arts & Design,"Re-read notes & textbook, Practice problems & past exams, Study groups, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:42:18,lxdso3xe@qqq.youngestsd.com,Sophomore,Arts & Design,"Re-read notes & textbook, Practice problems & past exams, Study groups, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:42:18,k0yesdbt@www.lingeringp.com,Sophomore,Arts & Design,"Re-read notes & textbook, Practice problems & past exams, Study groups, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:42:35,r1dmjecuq@rrc.rehearsalk.com,Sophomore,"(CS, Engineering, Math, Science)",Re-read notes & textbook,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 20:42:35,93hwh04pm@vva.xintaitong.com,Sophomore,"(CS, Engineering, Math, Science)",Re-read notes & textbook,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 20:42:35,ic719pfsb@vva.xintaitong.com,Sophomore,"(CS, Engineering, Math, Science)",Re-read notes & textbook,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 20:42:35,b7evmlkku@vva.xintaitong.com,Sophomore,"(CS, Engineering, Math, Science)",Re-read notes & textbook,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 20:42:35,hck8nivxs@rrc.rehearsalk.com,Sophomore,"(CS, Engineering, Math, Science)",Re-read notes & textbook,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 20:42:35,snjil5cz5@rrc.rehearsalk.com,Sophomore,"(CS, Engineering, Math, Science)",Re-read notes & textbook,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 20:42:58,942nfs31@cc.rehearsalk.com,Sophomore,Business & Econ,Practice problems & past exams,Quizlet,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 20:42:58,66gvpshz@zz.xintaitong.com,Sophomore,Business & Econ,Practice problems & past exams,Quizlet,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 20:42:58,zd57m5j6@cc.rehearsalk.com,Sophomore,Business & Econ,Practice problems & past exams,Quizlet,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 20:42:58,tjkpo2sw@cc.rehearsalk.com,Sophomore,Business & Econ,Practice problems & past exams,Quizlet,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 20:42:58,t1l9w0sy@zz.xintaitong.com,Sophomore,Business & Econ,Practice problems & past exams,Quizlet,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 20:42:58,9n92zw3v@zz.xintaitong.com,Sophomore,Business & Econ,Practice problems & past exams,Quizlet,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 20:43:35,sj40eupp@www.lingeringp.com,Junior,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Khan Academy","Explaining concepts I don't understand, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:43:35,axdf6uzt@www.lingeringp.com,Junior,Arts & Design,"Re-read notes & textbook, Study groups","ChatGPT & Claude & AI chatbots, Chegg & Course Hero","Explaining concepts I don't understand, Checking my work & homework help",,,Maybe — depends on how it works
2/27/2026 20:43:35,lw9zc77g@qqq.youngestsd.com,Sophomore,Business & Econ,"Re-read notes & textbook, Flashcards (physical or digital)","ChatGPT & Claude & AI chatbots, Notion","Explaining concepts I don't understand, Summarizing readings & notes",,,Maybe — depends on how it works
2/27/2026 20:43:35,ylkiz2kc@qqq.youngestsd.com,Sophomore,Humanities & Social Science,"Re-read notes & textbook, Practice problems & past exams","ChatGPT & Claude & AI chatbots, Notion","Explaining concepts I don't understand, Writing assistance",,,Maybe — depends on how it works
2/27/2026 20:43:35,gn5hykrl@www.lingeringp.com,Freshman,"(CS, Engineering, Math, Science)",Re-read notes & textbook,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 20:43:35,vtqt0sux@qqq.youngestsd.com,Sophomore,Humanities & Social Science,"Re-read notes & textbook, Watch YouTube & video explanations","ChatGPT & Claude & AI chatbots, Chegg & Course Hero","Explaining concepts I don't understand, Summarizing readings & notes",,,"Yeah, that sounds super useful"
2/27/2026 20:45:43,48bikti7@qqq.youngestsd.com,Sophomore,Business & Econ,"Re-read notes & textbook, Practice problems & past exams","ChatGPT & Claude & AI chatbots, Anki","Explaining concepts I don't understand, Summarizing readings & notes",,,Maybe — depends on how it works
2/27/2026 20:45:43,4n79e3gb@www.lingeringp.com,Junior,Health & Pre-med,"Re-read notes & textbook, Study groups","ChatGPT & Claude & AI chatbots, Chegg & Course Hero","Explaining concepts I don't understand, Writing assistance",,,"Yeah, that sounds super useful"
